frente,model,detector,exp,delta,min_window,cooldown,max_window,pre_proc,n_2019_total,n_post_total,n_alarms_total,FAR_2019_per1k,n_alarms_post,SNR_op,n_2019,n_2021,n_2022,n_2023,n_2024,n_2025,N_window,K_thr,K_delta,alpha,window_size,stat_size
B,Seq2Seq,PH,B_N50_K5_d1.0,,,,,window_agg,960,4800,39,6.250000,33,1.100000,6,18,3,4,5,3,50.000000,5.000000,1.000000,,,
B,Seq2Seq,PH,B_N50_K5_d2.0,,,,,window_agg,960,4800,25,5.208300,20,0.800000,5,16,1,1,2,0,50.000000,5.000000,2.000000,,,
B,Seq2Seq,PH,B_N50_K10_d0.5,,,,,window_agg,960,4800,32,6.250000,26,0.870000,6,18,2,1,3,2,50.000000,10.000000,0.500000,,,
B,Seq2Seq,PH,B_N50_K10_d1.0,,,,,window_agg,960,4800,27,5.208300,22,0.880000,5,17,1,1,3,0,50.000000,10.000000,1.000000,,,
B,Seq2Seq,PH,B_N50_K10_d2.0,,,,,window_agg,960,4800,22,3.125000,19,1.270000,3,16,1,1,1,0,50.000000,10.000000,2.000000,,,
B,Seq2Seq,PH,B_N50_K20_d0.5,,,,,window_agg,960,4800,23,4.166700,19,0.950000,4,17,0,1,1,0,50.000000,20.000000,0.500000,,,
B,Seq2Seq,PH,B_N50_K20_d1.0,,,,,window_agg,960,4800,21,3.125000,18,1.200000,3,16,0,1,1,0,50.000000,20.000000,1.000000,,,
B,Seq2Seq,PH,B_N50_K20_d2.0,,,,,window_agg,960,4800,16,1.041700,15,3.000000,1,14,0,0,1,0,50.000000,20.000000,2.000000,,,
B,Seq2Seq,PH,B_N50_K30_d0.5,,,,,window_agg,960,4800,21,3.125000,18,1.200000,3,17,0,0,1,0,50.000000,30.000000,0.500000,,,
B,Seq2Seq,PH,B_N50_K30_d1.0,,,,,window_agg,960,4800,19,2.083300,17,1.700000,2,16,0,0,1,0,50.000000,30.000000,1.000000,,,
B,Seq2Seq,PH,B_N50_K30_d2.0,,,,,window_agg,960,4800,15,1.041700,14,2.800000,1,14,0,0,0,0,50.000000,30.000000,2.000000,,,
B,Seq2Seq,PH,B_N50_K50_d0.5,,,,,window_agg,960,4800,18,3.125000,15,1.000000,3,15,0,0,0,0,50.000000,50.000000,0.500000,,,
B,Seq2Seq,PH,B_N50_K50_d1.0,,,,,window_agg,960,4800,14,1.041700,13,2.600000,1,13,0,0,0,0,50.000000,50.000000,1.000000,,,
B,Seq2Seq,PH,B_N50_K50_d2.0,,,,,window_agg,960,4800,13,0.000000,13,9999.000000,0,13,0,0,0,0,50.000000,50.000000,2.000000,,,
B,Seq2Seq,PH,B_N100_K5_d0.5,,,,,window_agg,480,2400,40,12.500000,34,1.130000,6,18,3,5,5,3,100.000000,5.000000,0.500000,,,
B,Seq2Seq,PH,B_N100_K5_d1.0,,,,,window_agg,480,2400,28,10.416700,23,0.920000,5,17,2,1,2,1,100.000000,5.000000,1.000000,,,
B,Seq2Seq,PH,B_N100_K5_d2.0,,,,,window_agg,480,2400,24,8.333300,20,1.000000,4,17,1,1,1,0,100.000000,5.000000,2.000000,,,
B,Seq2Seq,PH,B_N100_K10_d0.5,,,,,window_agg,480,2400,27,10.416700,22,0.880000,5,17,1,1,2,1,100.000000,10.000000,0.500000,,,
B,Seq2Seq,PH,B_N100_K10_d1.0,,,,,window_agg,480,2400,21,6.250000,18,1.200000,3,16,0,1,1,0,100.000000,10.000000,1.000000,,,
B,Seq2Seq,PH,B_N100_K10_d2.0,,,,,window_agg,480,2400,18,4.166700,16,1.600000,2,15,0,0,1,0,100.000000,10.000000,2.000000,,,
B,Seq2Seq,PH,B_N100_K20_d0.5,,,,,window_agg,480,2400,21,8.333300,17,0.850000,4,16,0,0,1,0,100.000000,20.000000,0.500000,,,
B,Seq2Seq,PH,B_N100_K20_d1.0,,,,,window_agg,480,2400,20,6.250000,17,1.130000,3,16,0,0,1,0,100.000000,20.000000,1.000000,,,
B,Seq2Seq,PH,B_N100_K20_d2.0,,,,,window_agg,480,2400,14,2.083300,13,2.600000,1,13,0,0,0,0,100.000000,20.000000,2.000000,,,
B,Seq2Seq,PH,B_N100_K30_d0.5,,,,,window_agg,480,2400,19,6.250000,16,1.070000,3,15,0,0,1,0,100.000000,30.000000,0.500000,,,
B,Seq2Seq,PH,B_N100_K30_d1.0,,,,,window_agg,480,2400,15,4.166700,13,1.300000,2,13,0,0,0,0,100.000000,30.000000,1.000000,,,
B,Seq2Seq,PH,B_N100_K30_d2.0,,,,,window_agg,480,2400,14,2.083300,13,2.600000,1,13,0,0,0,0,100.000000,30.000000,2.000000,,,
B,Seq2Seq,PH,B_N100_K50_d0.5,,,,,window_agg,480,2400,15,4.166700,13,1.300000,2,13,0,0,0,0,100.000000,50.000000,0.500000,,,
B,Seq2Seq,PH,B_N100_K50_d1.0,,,,,window_agg,480,2400,14,2.083300,13,2.600000,1,13,0,0,0,0,100.000000,50.000000,1.000000,,,
B,Seq2Seq,PH,B_N100_K50_d2.0,,,,,window_agg,480,2400,11,0.000000,11,9999.000000,0,11,0,0,0,0,100.000000,50.000000,2.000000,,,
B,Seq2Seq,PH,B_N200_K5_d0.5,,,,,window_agg,240,1200,30,25.000000,24,0.800000,6,17,1,2,2,2,200.000000,5.000000,0.500000,,,
B,Seq2Seq,PH,B_N200_K5_d1.0,,,,,window_agg,240,1200,23,12.500000,20,1.330000,3,17,1,1,1,0,200.000000,5.000000,1.000000,,,
B,Seq2Seq,PH,B_N200_K5_d2.0,,,,,window_agg,240,1200,19,8.333300,17,1.700000,2,15,0,1,1,0,200.000000,5.000000,2.000000,,,
B,Seq2Seq,PH,B_N200_K10_d0.5,,,,,window_agg,240,1200,21,16.666700,17,0.850000,4,15,0,1,1,0,200.000000,10.000000,0.500000,,,
B,Seq2Seq,PH,B_N200_K10_d1.0,,,,,window_agg,240,1200,19,12.500000,16,1.070000,3,15,0,0,1,0,200.000000,10.000000,1.000000,,,
B,Seq2Seq,PH,B_N200_K10_d2.0,,,,,window_agg,240,1200,16,4.166700,15,3.000000,1,14,0,0,1,0,200.000000,10.000000,2.000000,,,
B,Seq2Seq,PH,B_N200_K20_d0.5,,,,,window_agg,240,1200,17,12.500000,14,0.930000,3,14,0,0,0,0,200.000000,20.000000,0.500000,,,
B,Seq2Seq,PH,B_N200_K20_d1.0,,,,,window_agg,240,1200,15,8.333300,13,1.300000,2,13,0,0,0,0,200.000000,20.000000,1.000000,,,
B,Seq2Seq,PH,B_N200_K20_d2.0,,,,,window_agg,240,1200,14,4.166700,13,2.600000,1,13,0,0,0,0,200.000000,20.000000,2.000000,,,
B,Seq2Seq,PH,B_N200_K30_d0.5,,,,,window_agg,240,1200,15,8.333300,13,1.300000,2,13,0,0,0,0,200.000000,30.000000,0.500000,,,
